Vernacular name,International name,Scientific name,Category,Sort
Tawny Pipit,,Anthus campestris,A,524
Olive-backed Pipit,,Anthus hodgsoni,A,525
Tree Pipit,,Anthus trivialis,A,526
Pechora Pipit,,Anthus gustavi,A,527
Meadow Pipit,,Anthus pratensis,A,528
Red-throated Pipit,,Anthus cervinus,A,529
Rock Pipit,Eurasian Rock Pipit,Anthus petrosus,A,530
Water Pipit,,Anthus spinoletta,A,531
Buff-bellied Pipit,,Anthus rubescens,A,532
Brambling,,Fringilla montifringilla,A,533
Chaffinch,Common Chaffinch,Fringilla coelebs,AE,534
Evening Grosbeak,,Coccothraustes vespertinus,A,535
Hawfinch,,Coccothraustes coccothraustes,A,536
Common Rosefinch,,Carpodacus erythrinus,A,537
Pine Grosbeak,,Pinicola enucleator,AE,538
Bullfinch,Eurasian Bullfinch,Pyrrhula pyrrhula,A,539
Trumpeter Finch,,Bucanetes githagineus,AE,540
Greenfinch,European Greenfinch,Chloris chloris,AE,541
Linnet,Common Linnet,Carduelis cannabina,A,542
Twite,,Carduelis flavirostris,A,543
Lesser Redpoll,Common Redpoll,Acanthis cabaret,A,544
Common Redpoll,,Acanthis flammea,A,545
Arctic Redpoll,,Acanthis hornemanni,A,546
Two-barred Crossbill,,Loxia leucoptera,A,547
Crossbill,Red Crossbill,Loxia curvirostra,A,548
Scottish Crossbill,,Loxia scotica,A,549
Parrot Crossbill,,Loxia pytyopsittacus,A,550
Goldfinch,European Goldfinch,Carduelis carduelis,A,551
Citril Finch,,Serinus citrinella,A,552
Serin,European Serin,Serinus serinus,A,553
Siskin,Eurasian Siskin,Spinus spinus,A,554
Snow Bunting,,Plectrophenax nivalis,A,555
Lapland,Bunting Lapland Longspur,Calcarius lapponicus,A,556
Summer Tanager,,Piranga rubra,A,557
Scarlet Tanager,,Piranga olivacea,A,558
Rose-breasted Grosbeak,,Pheucticus ludovicianus,A,559
Indigo Bunting,,Passerina cyanea,AE,560
Eastern Towhee,,Pipilo erythrophthalmus,A,561
Lark Sparrow,,Chondestes grammacus,A,562
Savannah Sparrow,,Passerculus sandwichensis,A,563
Song Sparrow,,Melospiza melodia,AE,564
White-crowned Sparrow,,Zonotrichia leucophrys,AE,565
White-throated Sparrow,,Zonotrichia albicollis,AE,566
Dark-eyed Junco,,Junco hyemalis,AE,567
Black-headed Bunting,,Emberiza melanocephala,AE,568
Corn Bunting,,Emberiza calandra,A,569
Chestnut-eared Bunting,,Emberiza fucata,A,570
Rock Bunting,,Emberiza cia,A,571
Cretzschmar's Bunting,,Emberiza caesia,A,572
Ortolan Bunting,,Emberiza hortulana,AE,573
Cirl Bunting,,Emberiza cirlus,A,574
Yellowhammer,,Emberiza citrinella,A,575
Pine Bunting,,Emberiza leucocephalos,A,576
Pallas's Reed Bunting,,Emberiza pallasi,A,577
Reed Bunting,Common Reed Bunting,Emberiza schoeniclus,A,578
Yellow-breasted Bunting,,Emberiza aureola,A,579
Chestnut Bunting,,Emberiza rutila,A,580
Yellow-browed Bunting,,Emberiza chrysophrys,A,581
Little Bunting,,Emberiza pusilla,A,582
Rustic Bunting,,Emberiza rustica,A,583
Black-faced Bunting,,Emberiza spodocephala,AE,584
Bobolink,,Dolichonyx oryzivorus,A,585
Brown-headed Cowbird,,Molothrus ater,A,586
Baltimore Oriole,,Icterus galbula,AE,587
Ovenbird,,Seiurus aurocapilla,A,588
Northern Waterthrush,,Parkesia noveboracensis,A,589
Golden-winged Warbler,,Vermivora chrysoptera,A,590
Black-and-white Warbler,,Mniotilta varia,A,591
Tennessee Warbler,,Oreothlypis peregrina,A,592
Common Yellowthroat,,Geothlypis trichas,A,593
Hooded Warbler,,Setophaga citrina,A,594
American Redstart,,Setophaga ruticilla,AE,595
Cape May Warbler,,Setophaga tigrina,A,596
Northern Parula,,Setophaga americana,AE,597
Magnolia Warbler,,Setophaga magnolia,AE,598
Bay-breasted Warbler,,Setophaga castanea,A,599
Blackburnian Warbler,,Setophaga fusca,A,600
Yellow Warbler,American Yellow Warbler,Setophaga petechia,A,601
Chestnut-sided Warbler,,Setophaga pensylvanica,A,602
Blackpoll Warbler,,Setophaga striata,AE,603
Yellow-rumped Warbler,Myrtle Warbler,Setophaga coronata,A,604
Wilson's Warbler,,Cardellina pusilla,A,605
