Vernacular name,International name,Scientific name,Category,Sort
Slavonian Grebe,Horned Grebe,Podiceps auritus,A,120
Black-necked Grebe,,Podiceps nigricollis,A,121
Honey-buzzard,European Honey Buzzard,Pernis apivorus,A,122
Black Kite,,Milvus migrans,AE,123
Red Kite,,Milvus milvus,AC3E,124
White-tailed Eagle,,Haliaeetus albicilla,AC3E,125
Egyptian Vulture,,Neophron percnopterus,BDE,126
Short-toed Eagle,Short-toed Snake Eagle,Circaetus gallicus,A,127
Marsh Harrier,Western Marsh Harrier,Circus aeruginosus,A,128
Hen Harrier,,Circus cyaneus,A,129
Northern Harrier,,Circus cyaneus hudsonius,A,130
Pallid Harrier,,Circus macrourus,A,131
Montagu's Harrier,,Circus pygargus,A,132
Goshawk,Northern Goshawk,Accipiter gentilis,AC3E,133
Sparrowhawk,Eurasian Sparrowhawk,Accipiter nisus,A,134
Buzzard,Common Buzzard,Buteo buteo,AE,135
Rough-legged Buzzard,,Buteo lagopus,AE,136
Spotted Eagle,Greater Spotted Eagle,Clanga clanga,B,137
Golden Eagle,,Aquila chrysaetos,AE,138
Osprey,Western Osprey,Pandion haliaetus,AE,139
Water Rail,,Rallus aquaticus,A,140
Spotted Crake,,Porzana porzana,A,141
Sora Rail,Sora,Porzana carolina,A,142
Little Crake,,Zapornia parva,A,143
Baillon's Crake,,Zapornia pusilla,A,144
Corncrake,Corn Crake,Crex crex,AE,145
Moorhen,Common Moorhen,Gallinula chloropus,A,146
Allen's Gallinule,,Porphyrio alleni,A,147
Purple Gallinule,,Porphyrio martinicus,A,148
Coot,Eurasian Coot,Fulica atra,A,149
American Coot,,Fulica americana,A,150
Crane,Common Crane,Grus grus,A,151
Sandhill Crane,,Antigone canadensis,A,152
Little Bustard,,Tetrax tetrax,A,153
Macqueen's Bustard,,Chlamydotis macqueenii,A,154
Great Bustard,,Otis tarda,AE,155
Stone-curlew,Eurasian Stone-curlew,Burhinus oedicnemus,A,156
Black-winged Stilt,,Himantopus himantopus,A,157
Avocet,Pied Avocet,Recurvirostra avosetta,A,158
Oystercatcher,Eurasian Oystercatcher,Haematopus ostralegus,A,159
Grey Plover,,Pluvialis squatarola,A,160
Golden Plover,European Golden Plover,Pluvialis apricaria,A,161
American Golden Plover,,Pluvialis dominica,A,162
Pacific Golden Plover,,Pluvialis fulva,A,163
Dotterel,Eurasian Dotterel,Charadrius morinellus,A,164
Killdeer,,Charadrius vociferus,A,165
Semipalmated Plover,,Charadrius semipalmatus,A,166
Ringed Plover,Common Ringed Plover,Charadrius hiaticula,A,167
Little Ringed Plover,,Charadrius dubius,A,168
Sociable Plover,Sociable Lapwing,Vanellus gregarius,A,169
White-tailed Plover,White-tailed Lapwing,Vanellus leucurus,A,170
Lapwing,Northern Lapwing,Vanellus vanellus,A,171
Caspian Plover,,Charadrius asiaticus,A,172
Greater Sand Plover,,Charadrius leschenaultii,A,173
Lesser Sand Plover,,Charadrius mongolus,A,174
Kentish Plover,,Charadrius alexandrinus,A,175
Upland Sandpiper,,Bartramia longicauda,A,176
Little Whimbrel,Little Curlew,Numenius minutus,A,177
Eskimo Curlew,,Numenius borealis,B,178
Hudsonian Whimbrel,Whimbrel,Numenius phaeopus hudsonicus,A,179
Whimbrel,,Numenius phaeopus,A,180
Curlew,Eurasian Curlew,Numenius arquata,A,181
Black-tailed Godwit,,Limosa limosa,A,182
Hudsonian Godwit,,Limosa haemastica,A,183
Bar-tailed Godwit,,Limosa lapponica,A,184
Turnstone,Ruddy Turnstone,Arenaria interpres,A,185
Great Knot,,Calidris tenuirostris,A,186
Knot,Red Knot,Calidris canutus,A,187
Ruff,,Calidris pugnax,A,188
Sharp-tailed Sandpiper,,Calidris acuminata,A,189
Broad-billed Sandpiper,,Calidris falcinellus,A,190
Curlew Sandpiper,,Calidris ferruginea,A,191
Stilt Sandpiper,,Calidris himantopus,A,192
Red-necked Stint,,Calidris ruficollis,A,193
Long-toed Stint,,Calidris subminuta,A,194
Temminck's Stint,,Calidris temminckii,A,195
Sanderling,,Calidris alba,A,196
Dunlin,,Calidris alpina,A,197
Purple Sandpiper,,Calidris maritima,A,198
Baird's Sandpiper,,Calidris bairdii,A,199
Little Stint,,Calidris minuta,A,200
White-rumped Sandpiper,,Calidris fuscicollis,A,201
Least Sandpiper,,Calidris minutilla,A,202
Buff-breasted Sandpiper,,Calidris subruficollis,A,203
Pectoral Sandpiper,,Calidris melanotos,A,204
Western Sandpiper,,Calidris mauri,A,205
Semipalmated Sandpiper,,Calidris pusilla,A,206
Wilson's Phalarope,,Phalaropus tricolor,A,207
Red-necked Phalarope,,Phalaropus lobatus,A,208
Grey Phalarope,Red Phalarope,Phalaropus fulicarius,A,209
Terek Sandpiper,,Xenus cinereus,A,210
Common Sandpiper,,Actitis hypoleucos,A,211
Spotted Sandpiper,,Actitis macularius,A,212
Green Sandpiper,,Tringa ochropus,A,213
Solitary Sandpiper,,Tringa solitaria,A,214
Grey-tailed Tattler,,Tringa brevipes,A,215
Spotted Redshank,,Tringa erythropus,A,216
Greater Yellowlegs,,Tringa melanoleuca,A,217
Greenshank,Common Greenshank,Tringa nebularia,A,218
Lesser Yellowlegs,,Tringa flavipes,A,219
Marsh Sandpiper,,Tringa stagnatilis,A,220
Wood Sandpiper,,Tringa glareola,A,221
Redshank,Common Redshank,Tringa totanus,A,222
Jack Snipe,,Lymnocryptes minimus,A,223
Short-billed Dowitcher,,Limnodromus griseus,A,224
Long-billed Dowitcher,,Limnodromus scolopaceus,A,225
Woodcock,Eurasian Woodcock,Scolopax rusticola,A,226
Snipe,Common Snipe,Gallinago gallinago,A,227
Wilson's Snipe,,Gallinago delicata,A,228
Great Snipe,,Gallinago media,A,229
Collared Pratincole,,Glareola pratincola,A,230
Oriental Pratincole,,Glareola maldivarum,A,231
Black-winged Pratincole,,Glareola nordmanni,A,232
Cream-coloured Courser,,Cursorius cursor,A,233
Pomarine Skua,,Stercorarius pomarinus,A,234
Arctic Skua,Parasitic Jaeger,Stercorarius parasiticus,A,235
Long-tailed Skua,Long-tailed Jaeger,Stercorarius longicaudus,A,236
Great Skua,,Stercorarius skua,A,237
Tufted Puffin,,Fratercula cirrhata,A,238
Puffin,Atlantic Puffin,Fratercula arctica,A,239
Long-billed Murrelet,,Brachyramphus perdix,A,240
Black Guillemot,,Cepphus grylle,A,241
Ancient Murrelet,,Synthliboramphus antiquus,A,242
Razorbill,,Alca torda,A,243
Great Auk,,Pinguinus impennis,B,244
Little Auk,,Alle alle,A,245
Guillemot,Common Murre,Uria aalge,A,246
Brünnich's Guillemot,Thick-billed Murre,Uria lomvia,A,247
Aleutian Tern,,Onychoprion aleuticus,A,248
Sooty Tern,,Onychoprion fuscatus,A,249
Bridled Tern,,Onychoprion anaethetus,A,250
Little Tern,Little Tern and Least Tern,Sternula albifrons,A,251
Gull-billed Tern,,Gelochelidon nilotica,A,252
Caspian Tern,,Hydroprogne caspia,A,253
Whiskered Tern,,Chlidonias hybrida,A,254
Black Tern,,Chlidonias niger,A,255
White-winged Black Tern,White-winged Tern,Chlidonias leucopterus,A,256
Cabot's Tern,,Thalasseus sandvicensis acuflavidus,A,257
Sandwich Tern,,Thalasseus sandvicensis,A,258
Royal Tern,,Thalasseus maximus,A,259
Lesser Crested Tern,,Thalasseus bengalensis,A,260
Forster's Tern,,Sterna forsteri,A,261
Common Tern,,Sterna hirundo,A,262
Roseate Tern,,Sterna dougallii,A,263
Arctic Tern,,Sterna paradisaea,A,264
Ivory Gull,,Pagophila eburnea,A,265
Sabine's Gull,,Xema sabini,A,266
Kittiwake,Black-legged Kittiwake,Rissa tridactyla,A,267
Slender-billed Gull,,Chroicocephalus genei,A,268
Bonaparte's Gull,,Chroicocephalus philadelphia,A,269
Black-headed Gull,,Chroicocephalus ridibundus,A,270
Little Gull,,Hydrocoloeus minutus,A,271
Ross's Gull,,Rhodostethia rosea,A,272
Laughing Gull,,Leucophaeus atricilla,A,273
Franklin's Gull,,Leucophaeus pipixcan,A,274
Mediterranean Gull,,Ichthyaetus melanocephalus,A,275
Audouin's Gull,,Ichthyaetus audouinii,A,276
Great Black-headed Gull,Pallas's Gull,Ichthyaetus ichthyaetus,B,277
Common Gull,Mew Gull,Larus canus,A,278
Ring-billed Gull,,Larus delawarensis,A,279
Lesser Black-backed Gull,,Larus fuscus,A,280
Herring Gull,European Herring Gull,Larus argentatus,A,281
Yellow-legged Gull,,Larus michahellis,A,282
Caspian Gull,,Larus cachinnans,A,283
American Herring Gull,American Herring Gull,Larus argentatus smithsonianus,A,284
Iceland Gull,Iceland Gull and Thayer's Gull,Larus glaucoides,A,285
Slaty-backed Gull,,Larus schistisagus,A,286
Glaucous-winged Gull,,Larus glaucescens,A,287
Glaucous Gull,,Larus hyperboreus,A,288
Great Black-backed Gull,,Larus marinus,A,289
Pallas's Sandgrouse,,Syrrhaptes paradoxus,A,290
Rock Dove / Feral Pigeon,,Columba livia,AC4E,291
Stock Dove,,Columba oenas,A,292
Woodpigeon,Common Wood Pigeon,Columba palumbus,A,293
Collared Dove,Eurasian Collared Dove,Streptopelia decaocto,A,294
Turtle Dove,European Turtle Dove,Streptopelia turtur,A,295
Rufous Turtle Dove,Oriental Turtle Dove,Streptopelia orientalis,A,296
Mourning Dove,,Zenaida macroura,A,297
Great Spotted Cuckoo,,Clamator glandarius,A,298
Cuckoo,Common Cuckoo,Cuculus canorus,A,299
Black-billed Cuckoo,,Coccyzus erythropthalmus,A,300
Yellow-billed Cuckoo,,Coccyzus americanus,A,301
Barn Owl,Western Barn Owl,Tyto alba,AE,302
Scops Owl,Eurasian Scops Owl,Otus scops,A,303
Snowy Owl,,Bubo scandiacus,A,304
Hawk Owl,Northern Hawk-Owl,Surnia ulula,A,305
Little Owl,,Athene noctua,C1,306
Tawny Owl,,Strix aluco,A,307
Long-eared Owl,,Asio otus,A,308
Short-eared Owl,,Asio flammeus,A,309
Tengmalm's Owl,Boreal Owl,Aegolius funereus,A,310
